rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,Passes_into_final_third,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
96,Zeki Amdouni,Switzerland,FW,Burnley,Premier League,22,2000,34,1953,5,1,6,4,1,5.8,5,63,49,0.23,0.05,27,18,28,10,13,9,10,0,0,0,0,0,0,0,0,396,500,79.2,1153,81.5,87.6,68.6,16,28,9,24,88,33,53.4,63,30,20,32,5,48,43.8,0.97,0.08,0.19,21.1,2.3,0.18,0,2023-2024
103,Sofyan Amrabat,Morocco,MF,Manchester Utd,Premier League,26,1996,21,938,0,0,0,0,0,0.1,0.1,6,66,0,0,27,16,54.8,7,13,8,19,2,0,0,0,0,0,0,0,578,664,87,2747,89.1,89.2,83.6,6,62,6,48,10,60,20,6,8,0,11,0,3,0,0,0,0,45.5,1.82,0.1,0,2023-2024
104,Joachim Andersen,Denmark,DF,Crystal Palace,Premier League,27,1996,38,3415,2,3,5,2,0,1.7,1.7,21,147,0.05,0.08,56,35,74.4,18,15,41,207,1,0,0,0,0,0,0,0,1731,2209,78.4,14700,87.3,91.3,51.4,20,171,17,337,23,60.9,26.1,21,11,0,6,2,21,38.1,0.21,0.1,0.25,65.9,1.24,0.13,0,2023-2024
105,Elliot Anderson,England,MF,Newcastle Utd,Premier League,20,2002,21,1027,0,2,2,0,0,1.5,1.5,37,57,0,0.18,24,18,51.7,4,19,8,23,0,0,0,0,0,0,0,0,370,460,80.4,1322,88,83.1,29.6,15,36,12,23,43,48.8,41.9,37,23,4,22,0,19,21.1,0.35,0,0,61.3,2.98,0.26,0,2023-2024
114,Jaidon Anthony,England,FW,Bournemouth,Premier League,23,1999,3,152,0,0,0,0,0,0.1,0.1,2,8,0,0,3,1,14.3,0,3,1,3,0,0,0,0,0,0,0,0,30,45,66.7,139,85,71.4,16.7,0,3,1,2,6,33.3,50,2,2,0,2,0,2,50,0.59,0,0,25,1.78,0,0,2023-2024
116,Michail Antonio,Jamaica,FW,West Ham,Premier League,33,1990,26,1695,6,2,8,6,0,5.8,5.8,48,22,0.32,0.11,15,8,27.3,3,13,4,4,0,0,0,0,0,0,0,0,180,308,58.4,626,72.1,53.3,50,8,13,7,7,62,46.8,41.9,48,17,19,39,6,30,46.7,0.74,0.2,0.43,38.4,1.75,0.27,0,2023-2024
117,Antony,Brazil,FW,Manchester Utd,Premier League,23,2000,29,1324,1,1,2,1,0,3.4,3.4,53,64,0.07,0.07,40,21,50,1,28,12,9,0,0,0,0,0,0,0,0,468,595,78.7,1608,84.8,85,53.3,22,26,29,17,71,36.6,46.5,53,37,23,19,1,43,34.9,1.02,0.02,0.07,8.7,3.74,0.2,0,2023-2024
126,Oliver Arblaster,England,MF,Sheffield Utd,Premier League,19,2004,12,943,0,0,0,0,0,0,0,14,43,0,0,23,14,46.7,7,10,16,9,0,0,0,0,0,0,0,0,351,441,79.6,1788,86.6,88,52,11,37,6,31,26,65.4,23.1,14,12,3,8,0,1,100,0.1,0,0,37.5,2.2,0.19,0,2023-2024
127,Cameron Archer,England,FW,Sheffield Utd,Premier League,22,2001,29,1832,4,1,5,4,0,5.5,5.5,33,15,0.2,0.05,18,13,44.4,3,19,1,11,0,0,0,0,0,0,0,0,266,332,80.1,471,82.6,92.8,55.6,23,11,7,13,61,49.2,47.5,33,29,22,45,4,42,21.4,0.44,0.1,0.44,14.3,2.41,0.2,0,2023-2024
129,Alphonse Areola,France,GK,West Ham,Premier League,30,1993,31,2699,0,0,0,0,0,0,0,0,1,0,0,1,1,33.3,0,0,1,16,0,53,1.77,136,74.5,4,12.9,28.6,562,867,64.8,12917,97.4,99.6,44.8,0,8,0,835,1,100,0,0,1,0,0,0,0,0,0,0,0,90.9,0.07,0,5.8,2023-2024
150,Lorenz Assignon,Togo,DF,Burnley,Premier League,23,2000,15,1234,1,2,3,1,0,0.4,0.4,38,34,0.07,0.15,35,17,51.9,7,15,19,43,1,0,0,0,0,0,0,0,352,485,72.6,1984,80.9,78.4,32.3,13,16,10,46,32,40.6,53.1,38,16,12,13,1,9,44.4,0.29,0.11,0.25,43.3,1.68,0.15,0,2023-2024
161,Serge Aurier,Ivory Coast,DF,Nott'ham Forest,Premier League,30,1992,12,833,0,2,2,0,0,0.2,0.2,10,47,0,0.22,20,14,45.5,3,7,9,36,1,0,0,0,0,0,0,0,348,448,77.7,2147,84.9,83.3,37.8,4,31,9,39,14,21.4,78.6,10,15,1,8,0,6,16.7,0.11,0,0,60,1.62,0.22,0,2023-2024
164,Taiwo Awoniyi,Nigeria,FW,Nott'ham Forest,Premier League,25,1997,20,1042,6,3,9,6,0,4.7,4.7,8,14,0.52,0.26,9,7,50,2,5,1,9,0,0,0,0,0,0,0,0,127,175,72.6,312,79.3,72.3,60,10,6,3,14,16,50,43.8,8,6,6,11,6,22,50,0.95,0.27,0.55,30.4,2.6,0.52,0,2023-2024
166,Jordan Ayew,Ghana,FW,Crystal Palace,Premier League,31,1991,35,2543,4,7,11,4,0,3.9,3.9,74,63,0.14,0.25,65,36,50,2,41,16,15,0,0,0,0,0,0,0,0,681,920,74,1856,87.2,74.7,32.4,25,43,26,24,130,40,43.8,74,55,20,80,4,48,39.6,0.67,0.08,0.21,35.1,2.55,0.42,0,2023-2024
180,BenoÃ®t Badiashile,France,DF,Chelsea,Premier League,22,2001,18,1338,0,1,1,0,0,0.3,0.3,3,46,0,0.07,21,15,64.3,14,7,18,66,2,0,0,0,0,0,0,0,1065,1173,90.8,7087,95.5,93,67,6,48,4,178,1,0,0,3,5,1,4,0,6,16.7,0.07,0,0,56,1.55,0.2,0,2023-2024
184,Leon Bailey,Jamaica,MF,Aston Villa,Premier League,25,1997,35,2068,10,9,19,10,0,6.3,6.3,102,82,0.44,0.39,13,7,25,1,17,9,6,0,0,0,0,0,0,0,0,573,790,72.5,2559,83.6,76,58.5,52,38,51,19,119,47.9,42,102,47,41,41,10,53,34,0.78,0.19,0.56,36.8,4.22,0.48,0,2023-2024
196,George Baldock,Greece,DF,Sheffield Utd,Premier League,30,1993,13,969,0,1,1,0,0,0,0,9,31,0,0.09,18,10,40,8,6,10,33,0,0,0,0,0,0,0,0,291,397,73.3,1810,88.5,80.6,34.6,7,18,11,66,11,54.5,36.4,9,3,4,9,0,1,0,0,0,0,50,1.49,0.19,0,2023-2024
197,Carlos Baleba,Cameroon,MF,Brighton,Premier League,19,2004,27,1325,0,0,0,0,0,0.8,0.8,19,50,0,0,40,20,50,7,28,18,30,3,0,0,0,0,0,0,0,713,775,92,2185,93.7,96,80,8,38,3,65,22,50,27.3,19,19,1,16,0,21,23.8,0.34,0,0,72.7,1.15,0.07,0,2023-2024
201,FodÃ© Ballo-TourÃ©,Senegal,DF,Fulham,Premier League,26,1997,6,71,0,0,0,0,0,0,0,5,0,0,0,4,2,50,0,1,3,2,0,0,0,0,0,0,0,0,56,78,71.8,224,76.7,78.8,75,0,3,0,4,6,50,33.3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2023-2024
211,Shandon Baptiste,gd GRN,MF,Brentford,Premier League,25,1998,10,229,1,1,2,1,0,0.9,0.9,3,5,0.39,0.39,4,4,20,1,4,3,6,0,0,0,0,0,0,0,0,66,90,73.3,351,84.6,89.3,46.7,4,7,3,7,11,54.5,45.5,3,1,0,0,1,2,100,0.79,0.5,0.5,33.3,1.96,0.39,0,2023-2024
213,ValentÃ­n Barco,Argentina,DF,Brighton,Premier League,19,2004,6,307,0,0,0,0,0,0.2,0.2,8,14,0,0,11,5,75,0,3,4,3,1,0,0,0,0,0,0,0,179,233,76.8,864,91.6,73.4,30.4,4,10,3,7,11,45.5,36.4,8,4,0,4,0,4,50,0.59,0,0,12.5,2.35,0,0,2023-2024
219,Ross Barkley,England,MF,Luton Town,Premier League,29,1993,32,2618,5,4,9,5,0,4.1,4.1,48,163,0.17,0.14,47,19,22.9,9,16,25,51,2,0,0,0,0,0,0,0,1218,1474,82.6,6544,90,88.7,65,44,138,27,73,104,63.5,32.7,48,49,4,56,5,66,28.8,0.65,0.08,0.26,55.3,3.58,0.38,0,2023-2024
221,Harvey Barnes,England,FW,Newcastle Utd,Premier League,25,1997,21,802,5,3,8,5,0,3.6,3.6,45,34,0.56,0.34,6,1,50,0,1,5,3,0,0,0,0,0,0,0,0,208,272,76.5,750,87.1,81,43.8,13,11,17,5,25,28,56,45,21,23,16,5,27,44.4,1.35,0.19,0.42,33.3,3.25,0.67,0,2023-2024
230,Chris Basham,England,DF,Sheffield Utd,Premier League,35,1988,8,321,0,0,0,0,0,0.1,0.1,1,7,0,0,7,2,22.2,4,5,5,17,0,0,0,0,0,0,0,0,103,138,74.6,484,88.6,68.9,42.9,2,7,2,26,4,75,25,1,4,0,2,0,2,0,0,0,0,46.7,0.84,0,0,2023-2024
232,Calvin Bassey,Nigeria,DF,Fulham,Premier League,23,1999,29,2303,1,0,1,1,0,0.3,0.3,15,62,0.04,0,49,29,72.4,11,21,28,84,4,0,0,0,0,0,0,0,1440,1674,86,9421,94,92,57.3,1,80,2,305,14,78.6,14.3,15,11,2,8,1,5,20,0.04,0.2,1,54.5,0.59,0.08,0,2023-2024
258,Amari'i Bell,Jamaica,DF,Luton Town,Premier League,29,1994,21,1720,0,0,0,0,0,0.3,0.3,32,76,0,0,50,33,62.9,15,18,25,60,1,0,0,0,0,0,0,0,645,835,77.2,4470,87.1,85.7,40.7,8,63,8,101,27,37,55.6,32,25,1,5,0,2,100,0.1,0,0,47.6,1.31,0.16,0,2023-2024
262,Jean-Ricner Bellegarde,France,MF,Wolves,Premier League,25,1998,22,958,2,1,3,2,0,1.6,1.6,30,39,0.19,0.09,17,10,46.7,2,16,8,14,0,0,0,0,0,0,0,0,241,314,76.8,786,89.4,77.6,48.3,12,17,7,25,39,43.6,43.6,30,28,5,19,2,15,33.3,0.47,0.13,0.4,23.5,2.81,0.19,0,2023-2024
272,Anis Ben Slimane,Tunisia,MF,Sheffield Utd,Premier League,22,2001,15,419,0,0,0,0,0,0.8,0.8,3,12,0,0,11,6,40,1,6,5,7,0,0,0,0,0,0,0,0,92,139,66.2,373,67.1,81.4,80,3,6,2,15,17,11.8,76.5,3,8,3,12,0,8,37.5,0.64,0,0,28,2.58,0,0,2023-2024
276,SaÃ¯d Benrahma,Algeria,FW,West Ham,Premier League,27,1995,13,620,0,1,1,0,0,1.8,1,28,28,0,0.15,8,4,26.7,0,8,5,7,0,0,0,0,0,0,0,0,193,257,75.1,504,84.1,73.7,53.3,11,11,11,11,38,36.8,55.3,28,17,15,8,0,18,27.8,0.73,0,0,16.7,3.77,0.15,0,2023-2024
280,Rodrigo Bentancur,Uruguay,MF,Tottenham,Premier League,26,1997,23,1005,1,1,2,1,0,1.9,1.9,16,72,0.09,0.09,23,15,41.7,4,11,17,16,1,0,0,0,0,0,0,0,674,800,84.3,2610,90.1,86.5,70.7,8,69,11,36,21,52.4,38.1,16,22,2,19,1,18,22.2,0.36,0.06,0.25,38.9,2.78,0.36,0,2023-2024
281,Daniel Bentley,England,GK,Wolves,Premier League,30,1993,5,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1.64,8,53.3,1,33.3,0,96,144,66.7,1661,100,100,36.8,0,2,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.23,0,0,2023-2024
287,JÃ³hann Berg GuÃ°mundsson,Iceland,MF,Burnley,Premier League,32,1990,26,1192,1,3,4,1,0,1.9,1.9,13,59,0.08,0.23,13,4,43.8,0,14,16,16,0,0,0,0,0,0,0,0,396,544,72.8,2234,89.1,78.3,49.2,35,36,18,25,16,31.3,43.8,13,13,2,15,1,15,40,0.45,0.07,0.17,40,3.78,0.38,0,2023-2024
288,Sander Berge,Norway,MF,Burnley,Premier League,25,1998,37,3005,1,2,3,1,0,1.9,1.9,64,164,0.03,0.06,76,46,58.6,20,29,23,60,2,0,0,0,0,0,0,0,1376,1562,88.1,5168,89.2,92.5,81.2,29,129,16,133,41,48.8,39,64,57,9,23,1,25,12,0.09,0.04,0.33,57.1,2.01,0.24,0,2023-2024
296,Luke Berry,England,MF,Luton Town,Premier League,31,1992,17,323,2,1,3,2,0,1,1,1,8,0.56,0.28,7,2,66.7,1,5,0,3,0,0,0,0,0,0,0,0,64,99,64.6,310,84.4,56.3,40,2,5,0,5,3,66.7,0,1,2,0,4,2,8,50,1.11,0.25,0.5,50,1.67,0.28,0,2023-2024
299,Beto,Guinea-Bissau,FW,Everton,Premier League,25,1998,30,951,3,0,3,3,0,6.8,6,14,14,0.28,0,14,6,33.3,0,11,1,14,0,0,0,0,0,0,0,0,108,180,60,323,67.3,64.2,71.4,11,7,6,16,35,42.9,48.6,14,9,13,22,3,42,28.6,1.14,0.07,0.25,45.6,3.03,0.09,0,2023-2024
303,Jordan Beyer,Germany,DF,Burnley,Premier League,23,2000,15,1234,0,1,1,0,0,0.5,0.5,9,25,0,0.07,35,20,58.3,15,7,16,68,1,0,0,0,0,0,0,0,766,861,89,3759,90.6,94.4,69.6,3,28,1,159,7,57.1,28.6,9,11,0,1,0,5,0,0,0,0,51.9,0.73,0.07,0,2023-2024
307,Philip Billing,Denmark,MF,Bournemouth,Premier League,27,1996,29,1398,2,2,4,2,0,2.5,2.5,22,53,0.13,0.13,33,16,33.3,5,26,20,28,1,0,0,0,0,0,0,0,404,537,75.2,1791,83.2,79.1,55.4,23,39,15,43,33,36.4,54.5,22,23,6,17,2,30,26.7,0.52,0.07,0.25,60,2.96,0.32,0,2023-2024
312,Yves Bissouma,Mali,MF,Tottenham,Premier League,26,1996,28,2068,0,0,0,0,0,1.4,1.4,43,169,0,0,80,52,67.2,5,23,37,43,3,0,0,0,0,0,0,0,1689,1842,91.7,7214,94.2,93.2,81,11,156,12,97,47,57.4,25.5,43,42,7,30,0,24,20.8,0.22,0,0,48.3,1.91,0.13,0,2023-2024
325,Oscar Bobb,Norway,FW,Manchester City,Premier League,20,2003,14,302,1,1,2,1,0,1.4,1.4,13,25,0.3,0.3,7,3,50,0,4,5,1,0,0,0,0,0,0,0,0,155,177,87.6,478,94.4,86.3,100,9,3,19,4,18,61.1,33.3,13,5,5,6,1,4,25,0.3,0.25,1,33.3,6.56,1.79,0,2023-2024
328,Jayden Bogle,England,DF,Sheffield Utd,Premier League,23,2000,34,2788,3,0,3,3,0,2.3,2.3,38,60,0.1,0,66,36,50,11,31,32,97,0,0,0,0,0,0,0,0,684,969,70.6,3926,85.6,71.8,41.1,10,45,20,145,60,41.7,45,38,32,11,27,3,32,34.4,0.36,0.09,0.27,63.3,1.07,0.03,0,2023-2024
333,Willy Boly,Ivory Coast,DF,Nott'ham Forest,Premier League,32,1991,20,1438,2,1,3,2,0,1.5,1.5,4,32,0.13,0.06,46,29,55,21,11,25,90,0,0,0,0,0,0,0,0,502,671,74.8,4056,87.8,78.5,44.5,9,34,8,148,7,42.9,28.6,4,2,1,3,2,14,42.9,0.38,0.14,0.33,68.7,1,0.13,0,2023-2024
349,Sven Botman,Netherlands,DF,Newcastle Utd,Premier League,23,2000,17,1377,2,2,4,2,0,0.6,0.6,0,35,0.13,0.13,20,13,61.5,16,4,9,61,3,0,0,0,0,0,0,0,921,1017,90.6,6760,93.5,93.9,74.2,5,38,1,186,2,0,100,0,4,0,2,2,10,20,0.13,0.2,1,66.7,0.92,0.2,0,2023-2024
362,Jarrod Bowen,England,FW,West Ham,Premier League,26,1996,34,3019,16,6,22,16,0,11.6,11.6,90,52,0.48,0.18,42,28,37.1,5,32,19,14,0,0,0,0,0,0,0,0,484,702,68.9,1825,83.3,75,47.9,31,29,13,20,97,35.1,56.7,90,40,49,58,16,84,44,1.1,0.19,0.43,32,2.42,0.36,0,2023-2024
