rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,3-Jan,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
888,Jonas Föhrenbach,Germany,DF,Heidenheim,Bundesliga,27,1996,33,2788,0,0,0,0,0,0.5,0.5,44,96,0,0,44,24,52.8,19,15,31,70,0,0,0,0,0,0,0,0,1046,1462,71.5,9260,83.6,77.9,50.7,13,74,24,114,27,29.6,59.3,44,32,2,11,0,12,0,0,0,0,62.7,1.61,0.16,0,2023-2024
894,Emil Forsberg,Sweden,MF,RB Leipzig,Bundesliga,31,1991,14,464,2,1,3,2,0,1.4,0.6,8,22,0.39,0.19,7,3,41.7,0,7,0,5,0,0,0,0,0,0,0,0,163,199,81.9,551,88.8,90,70.6,6,14,3,7,9,33.3,44.4,8,3,4,7,2,11,36.4,0.78,0.18,0.5,40,3.1,0.78,0,2023-2024
896,Philipp Förster,Germany,MF,Bochum,Bundesliga,28,1995,13,385,0,0,0,0,0,0.5,0.5,7,21,0,0,9,5,33.3,0,3,7,3,0,0,0,0,0,0,0,0,156,208,75,694,83.2,67.5,73.7,9,9,8,2,4,25,25,7,10,1,7,0,6,16.7,0.23,0,0,22.2,4.45,0,0,2023-2024
902,Bartol Franjić,Croatia,MF,Darmstadt 98,Bundesliga,23,2000,20,1229,0,1,1,0,0,0.3,0.3,13,50,0,0.07,15,12,25,4,8,30,29,2,0,0,0,0,0,0,0,462,556,83.1,1949,84.6,90.2,71.4,2,39,2,44,13,53.8,46.2,13,8,1,8,0,4,0,0,0,0,47.2,1.24,0.15,0,2023-2024
908,Marco Friedl,Austria,DF,Werder Bremen,Bundesliga,25,1998,25,2197,1,0,1,1,0,0.2,0.2,4,59,0.04,0,53,32,75,29,16,35,129,0,0,0,0,0,0,0,0,930,1081,86,6566,90.9,93.7,65.6,1,49,4,234,6,83.3,16.7,4,6,0,5,1,7,14.3,0.04,0.14,1,49.4,0.16,0.04,0,2023-2024
909,Marvin Friedrich,Germany,DF,Gladbach,Bundesliga,27,1995,24,1566,0,0,0,0,0,0.6,0.6,2,34,0,0,23,15,60,20,8,17,87,0,0,0,0,0,0,0,0,755,905,83.4,5177,94.3,90.9,35.1,5,29,1,158,3,66.7,33.3,2,7,1,1,0,12,16.7,0.11,0,0,66.1,0.81,0.06,0,2023-2024
910,Jeremie Frimpong,Netherlands,DF,Leverkusen,Bundesliga,22,2000,31,2251,9,7,16,9,0,8.2,8.2,153,49,0.36,0.28,26,17,40,0,26,7,17,0,0,0,0,0,0,0,0,797,1026,77.7,2301,87,73.8,59.2,45,20,36,19,106,45.3,45.3,153,62,73,37,9,55,38.2,0.84,0.16,0.43,50,3.36,0.36,0,2023-2024
912,Chris Führich,Germany,FW,Stuttgart,Bundesliga,25,1998,34,2567,8,7,15,8,0,6.6,5.8,153,145,0.28,0.25,30,19,43.2,0,31,7,7,0,0,0,0,0,0,0,0,1112,1370,81.2,4203,90.4,83.1,43,53,59,61,8,153,47.7,44.4,153,106,56,27,8,53,45.3,0.84,0.15,0.33,22.2,4.8,0.6,0,2023-2024
915,Niclas Füllkrug,Germany,FW,Werder Bremen,Bundesliga,30,1993,2,180,0,0,0,0,0,0.5,0.5,2,9,0,0,1,1,100,1,1,0,1,0,0,0,0,0,0,0,0,48,66,72.7,274,81.8,68.2,85.7,2,7,2,2,1,0,100,2,1,0,1,0,5,20,0.5,0,0,52.2,3.5,0,0,2023-2024
916,Niclas Füllkrug,Germany,FW,Dortmund,Bundesliga,30,1993,29,2212,12,8,20,9,3,12.4,10,17,49,0.49,0.33,7,2,25,4,13,2,25,0,0,0,0,0,0,0,0,378,572,66.1,1141,70.9,68.2,63.9,34,25,16,31,20,25,50,17,16,11,23,12,50,46,0.94,0.18,0.39,39.2,2.32,0.45,0,2023-2024
931,Cristian Gamboa,Costa Rica,DF,Bochum,Bundesliga,33,1989,22,1187,0,1,1,0,0,0.1,0.1,12,33,0,0.08,24,18,42.4,7,13,15,34,1,0,0,0,0,0,0,0,350,475,73.7,2438,88.6,78.1,44.3,10,28,12,38,12,41.7,33.3,12,11,0,3,0,6,16.7,0.08,0,0,57.1,1.52,0.15,0,2023-2024
959,Dennis Geiger,Germany,MF,Hoffenheim,Bundesliga,25,1998,3,64,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,12,66.7,64,60,83.3,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,50,1.41,0,0,2023-2024
965,Yannick Gerhardt,Germany,MF,Wolfsburg,Bundesliga,29,1994,25,1630,2,1,3,2,0,1.9,1.9,17,49,0.11,0.06,31,20,28.1,2,13,7,35,0,0,0,0,0,0,0,0,585,756,77.4,2288,87.1,77.4,45.6,14,43,8,34,4,0,75,17,14,4,9,2,19,47.4,0.5,0.11,0.22,50.9,1.93,0.06,0,2023-2024
966,Anwar El Ghazi,Netherlands,MF,Mainz 05,Bundesliga,28,1995,3,54,0,1,1,0,0,0.1,0.1,2,4,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,68.2,47,75,50,100,2,1,0,0,4,50,50,2,2,0,0,0,2,0,0,0,0,0,6.67,1.67,0,2023-2024
978,Benedikt Gimber,Germany,DF,Heidenheim,Bundesliga,26,1997,24,2021,1,1,2,1,0,1.4,1.4,3,25,0.04,0.04,40,24,54.3,17,10,16,101,1,0,0,0,0,0,0,0,681,846,80.5,4173,83.3,90.1,58.3,3,14,0,146,11,72.7,9.1,3,1,0,4,1,18,16.7,0.13,0.06,0.33,53.9,0.36,0.09,0,2023-2024
980,Matthias Ginter,Germany,DF,Freiburg,Bundesliga,29,1994,23,1913,0,2,2,0,0,1.4,1.4,23,136,0,0.09,29,15,55.2,26,14,16,93,0,0,0,0,0,0,0,0,1039,1250,83.1,7154,91.5,88.7,49.7,5,86,9,148,5,40,60,23,15,0,2,0,7,57.1,0.19,0,0,63.3,1.32,0.19,0,2023-2024
982,Jamie Gittens,England,FW,Dortmund,Bundesliga,18,2004,25,1058,1,4,5,1,0,2.2,2.2,64,26,0.09,0.34,14,7,11.8,2,9,4,7,0,0,0,0,0,0,0,0,284,363,78.2,732,86.7,81.2,45.5,18,14,15,10,99,43.4,42.4,64,50,40,31,1,43,25.6,0.94,0.02,0.09,28.6,3.91,0.77,0,2023-2024
983,Klaus Gjasula,Albania,DF,Darmstadt 98,Bundesliga,33,1989,22,1363,0,0,0,0,0,0.5,0.5,8,70,0,0,44,22,56.7,14,12,19,42,2,0,0,0,0,0,0,0,615,746,82.4,4995,89,87,67.2,6,58,13,81,5,60,40,8,8,0,6,0,9,11.1,0.07,0,0,55.7,0.92,0,0,2023-2024
984,Serge Gnabry,Germany,FW,Bayern Munich,Bundesliga,28,1995,10,432,3,1,4,3,0,2.4,2.4,23,23,0.62,0.21,8,5,15.4,0,5,3,2,0,0,0,0,0,0,0,0,180,214,84.1,485,91.5,87.1,54.5,9,8,13,2,12,50,50,23,9,12,3,3,17,35.3,1.25,0.18,0.5,60,3.96,0.42,0,2023-2024
1013,Leon Goretzka,Germany,MF,Bayern Munich,Bundesliga,28,1995,30,2241,6,7,13,6,0,5,5,66,176,0.24,0.28,41,23,44.4,8,36,31,42,1,0,0,0,0,0,0,0,1559,1754,88.9,7112,92.1,92.2,72.8,32,176,27,78,24,54.2,33.3,66,56,1,14,6,56,25,0.56,0.11,0.43,55.4,2.85,0.48,0,2023-2024
1016,Robin Gosens,Germany,DF,Union Berlin,Bundesliga,29,1994,30,2283,6,3,9,6,0,2.1,2.1,21,97,0.24,0.12,63,44,68.2,9,43,36,75,0,0,0,0,0,0,0,0,858,1184,72.5,6207,82.7,71.8,56.6,33,78,35,89,14,35.7,50,21,20,1,8,6,32,31.3,0.39,0.19,0.6,57.7,2.48,0.32,0,2023-2024
1017,Mario Götze,Germany,MF,Eint Frankfurt,Bundesliga,31,1992,30,2068,3,2,5,3,0,2.9,2.9,22,115,0.13,0.09,51,34,45.2,3,16,14,10,0,0,0,0,0,0,0,0,1050,1325,79.2,4244,88.2,79.7,55.6,35,81,32,27,39,46.2,48.7,22,34,2,26,3,13,46.2,0.26,0.23,0.5,38.1,3.31,0.26,0,2023-2024
1019,Jeffrey Gouweleeuw,Netherlands,DF,Augsburg,Bundesliga,32,1991,30,2593,1,0,1,1,0,1.3,1.3,33,143,0.03,0,35,23,64,24,20,35,108,0,0,0,0,0,0,0,0,1147,1490,77,10362,89.1,89.5,47.2,15,156,19,196,23,65.2,34.8,33,24,2,7,1,23,13,0.1,0.04,0.33,57.1,1.28,0.07,0,2023-2024
1022,Jens Grahl,Germany,GK,Eint Frankfurt,Bundesliga,34,1988,2,180,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,2,1,7,77.8,0,0,0,61,92,66.3,965,100,95.3,25.6,1,2,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5,0.5,12.1,2023-2024
1031,Michael Gregoritsch,Austria,FW,Freiburg,Bundesliga,29,1994,32,1682,7,4,11,7,0,9.2,9.2,12,48,0.37,0.21,16,12,14.3,4,13,9,27,0,0,0,0,0,0,0,0,268,440,60.9,1147,62.5,72.3,63.3,15,21,15,31,18,27.8,61.1,12,18,4,13,7,74,35.1,1.39,0.09,0.27,49.5,2.51,0.37,0,2023-2024
1034,Vincenzo Grifo,Italy,MF,Freiburg,Bundesliga,30,1993,32,2325,8,8,16,2,6,7.7,3,54,115,0.31,0.31,31,20,45.2,1,21,15,20,0,0,0,0,0,0,0,0,971,1335,72.7,4934,85.3,78.7,46.3,56,87,42,43,59,39,47.5,54,33,24,20,8,42,28.6,0.46,0.05,0.17,37.5,3.79,0.43,0,2023-2024
1035,Florian Grillitsch,Austria,DF,Hoffenheim,Bundesliga,27,1995,30,2295,1,6,7,1,0,1.2,1.2,32,152,0.04,0.24,54,28,40.7,20,21,52,90,2,0,0,0,0,0,0,0,1496,1753,85.3,11022,90.3,90.8,63.2,19,152,20,228,23,56.5,34.8,32,17,3,12,1,21,28.6,0.24,0.05,0.17,52.3,2.43,0.39,0,2023-2024
1036,Álex Grimaldo,Spain,DF,Leverkusen,Bundesliga,27,1995,33,2784,10,13,23,10,0,5.7,5.7,77,162,0.32,0.42,45,24,54.5,7,25,22,41,0,0,0,0,0,0,0,0,1762,2148,82,6698,92.4,82.5,44,78,79,71,60,48,41.7,47.9,77,56,15,18,10,71,32.4,0.74,0.14,0.43,38.7,4.23,0.68,0,2023-2024
1037,Christian Groß,Germany,DF,Werder Bremen,Bundesliga,34,1989,20,797,0,1,1,0,0,0.3,0.3,17,46,0,0.11,21,16,44,6,11,13,28,1,0,0,0,0,0,0,0,427,499,85.6,2997,86.6,90.2,66.7,8,32,4,42,3,66.7,33.3,17,6,2,4,0,4,25,0.11,0,0,36.4,0.9,0.11,0,2023-2024
1039,Brajan Gruda,Germany,MF,Mainz 05,Bundesliga,19,2004,28,1641,4,3,7,4,0,3.5,3.5,100,71,0.22,0.16,22,14,58.3,0,15,5,4,0,0,0,0,0,0,0,0,425,658,64.6,2298,77.7,67.7,33.7,43,31,31,9,148,46.6,42.6,100,55,44,49,4,30,40,0.66,0.13,0.33,32.6,5.65,0.27,0,2023-2024
1052,Raphaël Guerreiro,Portugal,DF,Bayern Munich,Bundesliga,29,1993,20,1191,3,0,3,3,0,2.4,2.4,36,86,0.23,0,19,16,60,1,6,15,5,1,0,0,0,0,0,0,0,880,1017,86.5,4122,92.4,86.5,61.9,23,68,26,21,19,68.4,31.6,36,33,5,11,3,18,33.3,0.45,0.17,0.5,28.6,3.78,0.53,0,2023-2024
1057,Josuha Guilavogui,France,DF,Mainz 05,Bundesliga,32,1990,11,409,0,1,1,0,0,0,0,1,9,0,0.22,15,10,85.7,7,6,13,21,0,0,0,0,0,0,0,0,155,180,86.1,1138,92.2,92.2,47.4,1,6,1,39,0,0,0,1,1,0,1,0,0,0,0,0,0,53.8,0.88,0.22,0,2023-2024
1062,Serhou Guirassy,Guinea,FW,Stuttgart,Bundesliga,27,1996,28,2208,28,3,31,24,4,20.8,17.6,32,56,1.14,0.12,6,3,40,1,7,6,29,0,0,0,0,0,0,0,0,629,777,81,1176,87.9,79.1,73.9,53,38,25,30,41,39,51.2,32,19,19,38,28,88,45.5,1.63,0.27,0.6,54.2,3.67,0.53,0,2023-2024
1064,Péter Gulácsi,Hungary,GK,RB Leipzig,Bundesliga,33,1990,13,1170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,9,0.69,33,78,5,38.5,0,406,470,86.4,4821,100,100,55.9,0,2,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.08,0.08,4,2023-2024
1065,Manuel Gulde,Germany,DF,Freiburg,Bundesliga,32,1991,27,2047,1,0,1,1,0,1.1,1.1,10,74,0.04,0,37,23,73.9,14,10,25,82,0,0,0,0,0,0,0,0,942,1095,86,5437,88.8,92.7,56.3,3,59,6,170,4,50,50,10,13,0,2,1,12,8.3,0.04,0.08,1,59.8,0.57,0,0,2023-2024
1068,Robert Gumny,Poland,DF,Augsburg,Bundesliga,25,1998,13,481,0,0,0,0,0,0.2,0.2,9,18,0,0,6,5,20,5,8,7,15,0,0,0,0,0,0,0,0,138,195,70.8,1192,76.4,70.7,68.2,2,7,1,19,13,38.5,30.8,9,9,1,1,0,3,33.3,0.19,0,0,60,2.06,0.56,0,2023-2024
1070,Christian Günter,Germany,DF,Freiburg,Bundesliga,30,1993,15,1060,1,2,3,1,0,0.5,0.5,15,23,0.08,0.17,20,12,38.9,3,6,2,16,0,0,0,0,0,0,0,0,387,505,76.6,2230,91.9,81.5,45.9,18,18,11,23,9,44.4,44.4,15,20,5,7,1,6,33.3,0.17,0.17,0.5,33.3,2.46,0.17,0,2023-2024
1081,Janik Haberer,Germany,MF,Union Berlin,Bundesliga,29,1994,21,1221,1,1,2,1,0,0.9,0.8,10,47,0.07,0.07,36,24,48.9,4,17,12,18,0,0,0,0,0,0,0,0,412,553,74.5,1785,82.9,79,48.5,10,28,6,26,19,42.1,52.6,10,9,0,5,1,15,20,0.22,0.07,0.33,51.3,2.06,0.15,0,2023-2024
1082,Robin Hack,Germany,FW,Gladbach,Bundesliga,24,1998,29,1348,10,2,12,10,0,3.9,3.9,50,46,0.67,0.13,15,8,23.5,0,16,14,21,0,0,0,0,0,0,0,0,389,525,74.1,1474,85.5,77.7,49.2,25,25,16,11,60,43.3,51.7,50,39,20,36,10,43,51.2,1.47,0.23,0.45,42.1,3,0.13,0,2023-2024
1087,Amadou Haidara,Mali,MF,RB Leipzig,Bundesliga,25,1998,21,1526,2,1,3,2,0,1.1,1.1,8,97,0.12,0.06,42,27,56.1,6,22,21,37,0,0,0,0,0,0,0,0,694,825,84.1,4135,87.1,88.6,71.4,17,95,19,52,11,81.8,18.2,8,10,2,9,2,21,42.9,0.53,0.1,0.22,65.4,2.42,0.41,0,2023-2024
1092,Sébastien Haller,Ivory Coast,FW,Dortmund,Bundesliga,29,1994,14,396,0,1,1,0,0,0.9,0.9,11,11,0,0.23,1,0,100,1,3,0,7,0,0,0,0,0,0,0,0,78,115,67.8,237,71.2,70.4,100,5,9,1,9,5,80,20,11,4,2,4,0,7,28.6,0.45,0,0,47.5,2.53,0.23,0,2023-2024
1094,Andreas Hanche-Olsen,Norway,DF,Mainz 05,Bundesliga,26,1997,15,992,1,0,1,1,0,0.7,0.7,1,19,0.09,0,20,12,62.5,4,6,11,41,0,0,0,0,0,0,0,0,342,439,77.9,2299,81.2,87.6,45,1,10,0,60,0,0,0,1,1,0,2,1,4,25,0.09,0.25,1,65.9,0.54,0.09,0,2023-2024
1095,Isak Hansen-Aarøen,Norway,MF,Werder Bremen,Bundesliga,18,2004,3,27,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,14,78.6,52,83.3,80,50,1,0,1,0,2,0,100,2,2,0,2,0,0,0,0,0,0,0,3.33,0,0,2023-2024
1097,Genki Haraguchi,Japan,MF,Stuttgart,Bundesliga,32,1991,2,27,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,18,77.8,53,88.9,100,33.3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024
1102,Makoto Hasebe,Japan,DF,Eint Frankfurt,Bundesliga,39,1984,8,218,0,0,0,0,0,0,0,0,10,0,0,4,2,50,1,1,2,5,0,0,0,0,0,0,0,0,166,189,87.8,1037,92.9,91.7,60.9,0,7,2,11,0,0,0,0,1,0,1,0,0,0,0,0,0,57.1,1.24,0,0,2023-2024
1107,Thorgan Hazard,Belgium,DF,Dortmund,Bundesliga,30,1993,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,77.8,45,66.7,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024
1112,Dominique Heintz,Germany,DF,Köln,Bundesliga,29,1993,12,568,0,0,0,0,0,0,0,10,30,0,0,12,5,66.7,1,5,3,28,0,0,0,0,0,0,0,0,349,423,82.5,2053,90.3,90.7,49.2,7,24,6,37,4,75,25,10,12,1,3,0,0,0,0,0,0,50,2.22,0,0,2023-2024
1115,Benjamin Henrichs,Germany,DF,RB Leipzig,Bundesliga,26,1997,33,2526,1,5,6,1,0,2.5,2.5,53,124,0.04,0.18,68,39,46.6,4,45,33,37,0,0,0,0,0,0,0,0,1314,1670,78.7,8038,88.4,81.4,51.5,40,78,46,61,54,61.1,27.8,53,51,7,20,1,35,25.7,0.32,0.03,0.11,51.1,3.17,0.46,0,2023-2024
1134,Patrick Herrmann,Germany,FW,Gladbach,Bundesliga,32,1991,8,86,0,0,0,0,0,0.2,0.2,3,6,0,0,4,4,100,0,1,1,2,0,0,0,0,0,0,0,0,29,44,65.9,160,69.6,63.6,85.7,3,2,1,2,1,0,0,3,4,1,1,0,4,0,0,0,0,50,7.33,1.05,0,2023-2024
1141,Piero Hincapié,Ecuador,DF,Leverkusen,Bundesliga,21,2002,26,1484,1,2,3,1,0,1.9,1.9,34,102,0.06,0.12,35,22,76.5,7,11,13,43,0,0,0,0,0,0,0,0,1307,1435,91.1,6533,96.2,92.1,57.1,6,99,9,100,6,16.7,83.3,34,32,1,4,1,18,33.3,0.36,0.06,0.17,57.1,1.39,0.3,0,2023-2024
1143,Adam Hložek,Czech Republic,MF,Leverkusen,Bundesliga,21,2002,23,459,2,3,5,2,0,3.1,3.1,14,13,0.39,0.59,10,4,42.9,1,3,2,1,0,0,0,0,0,0,0,0,123,152,80.9,280,88.6,81,75,9,5,2,4,14,28.6,64.3,14,9,5,13,2,18,33.3,1.18,0.11,0.33,44.4,3.14,0.78,0,2023-2024
1144,Nicolas Höfler,Germany,MF,Freiburg,Bundesliga,33,1990,28,2330,1,1,2,1,0,0.7,0.7,14,94,0.04,0.04,63,40,44.9,16,14,31,45,0,0,0,0,0,0,0,0,985,1153,85.4,4636,86.6,90.9,72.8,9,82,6,112,18,77.8,16.7,14,11,0,20,1,16,6.3,0.04,0.06,1,50.5,1.24,0.12,0,2023-2024
1145,Jonas Hofmann,Germany,MF,Leverkusen,Bundesliga,31,1992,32,2204,5,7,12,5,0,5.9,5.9,63,119,0.2,0.29,20,14,41.7,0,18,8,6,0,0,0,0,0,0,0,0,1214,1530,79.3,4146,88.1,82.6,56.3,78,71,41,3,35,51.4,48.6,63,50,13,17,5,60,41.7,1.02,0.08,0.2,20,6.42,0.82,0,2023-2024
1146,Philipp Hofmann,Germany,FW,Bochum,Bundesliga,30,1993,29,1571,4,2,6,4,0,4.8,4.8,7,36,0.23,0.11,10,5,57.1,2,9,4,17,0,0,0,0,0,0,0,0,266,416,63.9,648,71.7,59.2,60,19,17,11,16,15,60,40,7,6,2,14,4,39,38.5,0.86,0.1,0.27,54.1,2.92,0.23,0,2023-2024
1147,Lucas Höler,Germany,FW,Freiburg,Bundesliga,29,1994,33,2305,7,2,9,6,1,8.6,7,24,49,0.27,0.08,32,24,17.4,4,15,15,35,0,0,0,0,0,0,0,0,494,739,66.8,1500,71.8,69.8,66.7,32,34,12,46,29,44.8,51.7,24,12,5,19,7,32,50,0.62,0.19,0.38,44,2.5,0.31,0,2023-2024
1149,Fabian Holland,Germany,MF,Darmstadt 98,Bundesliga,33,1990,23,1835,0,2,2,0,0,0.6,0.6,11,87,0,0.1,47,26,54.1,12,10,24,29,0,0,0,0,0,0,0,0,720,919,78.3,4204,88,86.7,54.3,17,84,9,54,15,53.3,40,11,12,1,9,0,11,27.3,0.15,0,0,27.3,2.21,0.2,0,2023-2024
1150,Benedict Hollerbach,Germany,FW,Union Berlin,Bundesliga,22,2001,28,1282,5,0,5,5,0,3.4,3.4,49,39,0.35,0,17,11,31.8,0,28,4,3,0,0,0,0,0,0,0,0,253,398,63.6,963,80.5,65.1,48.6,14,18,18,9,74,40.5,55.4,49,28,24,52,5,34,29.4,0.7,0.15,0.5,33.3,2.88,0.07,0,2023-2024
1152,Gerrit Holtmann,Philippines,MF,Darmstadt 98,Bundesliga,28,1995,10,392,0,0,0,0,0,0.6,0.6,13,18,0,0,8,5,70,0,7,2,4,1,0,0,0,0,0,0,0,113,155,72.9,607,87.1,70,30.8,5,12,4,7,15,46.7,40,13,11,8,13,0,14,35.7,1.15,0,0,41.7,4.36,0.23,0,2023-2024
1155,Franck Honorat,France,DF,Gladbach,Bundesliga,26,1996,32,2345,3,9,12,3,0,1.6,1.6,97,93,0.12,0.35,25,13,55,3,19,9,35,1,0,0,0,0,0,0,0,802,1207,66.4,5175,83.1,67.4,39.8,89,37,56,28,54,38.9,50,97,60,26,18,3,28,35.7,0.38,0.11,0.3,47.2,5.1,0.69,0,2023-2024
1156,Mathias Honsak,Austria,FW,Darmstadt 98,Bundesliga,26,1996,23,1021,1,1,2,1,0,1.8,1.8,22,19,0.09,0.09,14,7,30,2,12,8,25,0,0,0,0,0,0,0,0,210,285,73.7,747,81.6,78.6,63.6,12,11,6,27,30,30,70,22,14,8,14,1,23,26.1,0.53,0.04,0.17,38.5,1.85,0.26,0,2023-2024
1158,Fraser Hornby,Scotland,FW,Darmstadt 98,Bundesliga,23,1999,7,217,0,0,0,0,0,0.7,0.7,7,2,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,35,63,55.6,71,68.6,53.8,100,4,0,2,5,4,25,75,7,3,4,4,0,10,20,0.83,0,0,45.8,3.3,0,0,2023-2024
1159,Lukáš Hrádecký,Finland,GK,Leverkusen,Bundesliga,33,1989,33,2970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,2,24,0.73,78,76.5,15,45.5,0,706,886,79.7,12037,99.5,97.6,48.8,0,4,0,777,0,0,0,0,1,1,0,0,0,0,0,0,0,88.9,0.06,0.03,8.6,2023-2024
1161,Timo Hübers,Germany,DF,Köln,Bundesliga,27,1996,31,2778,0,0,0,0,0,1.8,1.8,19,104,0,0,68,47,61.3,28,26,63,168,1,0,0,0,0,0,0,0,1473,1743,84.5,10485,89.4,92.4,52,6,105,7,267,6,66.7,33.3,19,14,1,7,0,22,22.7,0.16,0,0,66.9,0.71,0.03,0,2023-2024
1166,Mats Hummels,Germany,DF,Dortmund,Bundesliga,34,1988,25,1581,3,0,3,3,0,3.2,3.2,11,82,0.17,0,52,34,56.6,11,22,33,82,0,0,0,0,0,0,0,0,1262,1418,89,8497,94.8,92.4,74.3,9,86,6,167,7,28.6,57.1,11,13,1,6,3,16,37.5,0.34,0.19,0.5,61.3,1.37,0.11,0,2023-2024
1167,Denis Huseinbasic,Bosnia and Herzegovina,MF,Köln,Bundesliga,22,2001,26,1627,0,3,3,0,0,0.3,0.3,35,93,0,0.17,38,18,64.5,1,25,13,14,0,0,0,0,0,0,0,0,674,791,85.2,2909,89,92.6,62.2,16,68,9,36,23,43.5,52.2,35,30,3,19,0,12,25,0.17,0,0,50,2.05,0.28,0,2023-2024
1171,Iago,Brazil,DF,Augsburg,Bundesliga,26,1997,23,1622,1,1,2,1,0,1.4,1.4,24,54,0.06,0.06,36,17,51.5,8,31,18,43,0,0,0,0,0,0,0,0,536,735,72.9,4071,86.3,74.1,57.8,17,51,27,66,37,51.4,40.5,24,20,4,10,1,18,38.9,0.39,0.06,0.14,52.6,2.33,0.11,0,2023-2024
1176,Borja Iglesias,Spain,FW,Leverkusen,Bundesliga,30,1993,7,256,0,0,0,0,0,1.4,1.4,3,5,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,58,75,77.3,113,78.6,95,100,3,3,3,1,1,0,100,3,2,3,6,0,8,37.5,1.05,0,0,40,2.81,0,0,2023-2024
1193,Thomas Isherwood,Sweden,DF,Darmstadt 98,Bundesliga,25,1998,12,636,0,0,0,0,0,0,0,6,11,0,0,11,5,55.6,7,3,10,34,0,0,0,0,0,0,0,0,223,268,83.2,1293,93.8,89.4,51.4,1,13,4,53,1,100,0,6,6,0,0,0,0,0,0,0,0,57.1,0.14,0,0,2023-2024
1197,Ko Itakura,Japan,DF,Gladbach,Bundesliga,26,1997,20,1596,3,0,3,3,0,1.3,1.3,14,36,0.17,0,34,21,61.5,18,14,22,62,0,0,0,0,0,0,0,0,798,910,87.7,4876,90.8,93,61.2,5,41,3,142,7,71.4,28.6,14,11,1,5,3,21,33.3,0.39,0.14,0.43,55.9,0.96,0.17,0,2023-2024
1198,Hiroki Ito,Japan,DF,Stuttgart,Bundesliga,24,1999,26,2228,0,2,2,0,0,0.9,0.9,29,121,0,0.08,19,18,42.3,17,12,29,86,2,0,0,0,0,0,0,0,1833,2066,88.7,11234,95.1,91.9,55.9,19,119,21,175,11,63.6,27.3,29,26,2,5,0,18,22.2,0.16,0,0,44.1,1.41,0.32,0,2023-2024
1207,Lee Jae-sung,South Korea,MF,Mainz 05,Bundesliga,30,1992,29,2113,6,3,9,6,0,4.9,4.9,25,82,0.26,0.13,33,20,33.3,2,20,27,23,0,0,0,0,0,0,0,0,605,777,77.9,2153,84.1,79.1,56,32,61,10,32,38,39.5,44.7,25,17,4,22,6,38,34.2,0.55,0.16,0.46,34,2.81,0.3,0,2023-2024
1208,Paul Jaeckel,Germany,DF,Union Berlin,Bundesliga,25,1998,6,234,0,0,0,0,0,0,0,1,14,0,0,7,2,55.6,2,1,4,7,0,0,0,0,0,0,0,0,121,136,89,943,97.8,90,80,2,7,1,9,1,0,0,1,1,0,1,0,0,0,0,0,0,71.4,0.38,0,0,2023-2024
1210,Kristijan Jakić,Croatia,MF,Augsburg,Bundesliga,26,1997,14,1051,2,1,3,2,0,0.8,0.8,11,56,0.17,0.09,28,14,45.5,1,12,20,15,0,0,0,0,0,0,0,0,398,503,79.1,2584,82.5,84,63.3,7,41,8,27,11,54.5,36.4,11,6,2,13,2,13,38.5,0.43,0.15,0.4,52,1.71,0.26,0,2023-2024
